headword,pronunciation,Pron
mirtídanos,m i ɾ ˈ t i ð a n o s,m i ɾ t I ð a n o s
miríada,m i ˈ ɾ i a ð a,m i ɾ I a ð a
misa,ˈ m i s a,m I s a
misandria,m i ˈ s a n d ɾ j a,m i s A n d ɾ j a
miscible,m i s ˈ θ i β l e,m i s θ I β l e
miserabilísima,m i s e r a β i ˈ l i s i m a,m i s e r a β i l I s i m a
miserabilísimas,m i s e r a β i ˈ l i s i m a s,m i s e r a β i l I s i m a s
miserabilísimo,ˌ m i s e r a β i ˈ l i s i m o,ˌ m i s e r a β i l I s i m o
miserabilísimos,m i s e r a β i ˈ l i s i m o s,m i s e r a β i l I s i m o s
miserable,m i s e ɾ a β l e,m i s e ɾ a β l e
miserables,m i s e ɾ a β l e s,m i s e ɾ a β l e s
miserear,m i s e ɾ e ˈ a ɾ,m i s e ɾ e A ɾ
misericordioso,m i s e ɾ k o ɾ ˈ ð j o s o,m i s e ɾ k o ɾ ð j O s o
miserioso,m i s e ˈ ɾ j o s o,m i s e ɾ j O s o
mishiadura,m i ˈ ʃ j a ð u ɾ a,m i ʃ j A ð u ɾ a
mishio,ˈ m i ʃ j o,m I ʃ j o
misho,ˈ m i ʃ o,m I ʃ o
mishé,m i ˈ ʃ e,m i ʃ E
misionado,m i s j o ˈ n a ð o,m i s j o n A ð o
misionando,ˈ a n̪ d o,A n̪ d o
misionar,m i s j o ˈ n a ɾ,m i s j o n A ɾ
misionario,m i s j o ˈ n a ɾ j o,m i s j o n A ɾ j o
misionarismo,m i s j o n a ˈ ɾ i s m o,m i s j o n a ɾ I s m o
misionero,m i s j o ˈ n e ɾ o,m i s j o n E ɾ o
misioneros,m i s j o ˈ n e ɾ o s,m i s j o n E ɾ o s
misis,ˈ m i s i s,m I s i s
misiva,m i ˈ s i β a,m i s I β a
misiá,m i ˈ s j a,m i s j A
misión,m i ˈ s j o n,m i s j O n
misma,ˈ m i s m a,m I s m a
mismas,ˈ m i s m a s,m I s m a s
mismo,ˈ m i s m o,m I s m o
mismos,ˈ m i s m o s,m I s m o s
miso,ˈ m i s o,m I s o
misoneísmo,m i s o n e ˈ i s m o,m i s o n e I s m o
misterio,m i s ˈ t e ɾ j o,m i s t E ɾ j o
misteriosamente,m i s t e ˈ ɾ j o s a ˈ m e n̪ t e,m i s t e ɾ j O s a m E n̪ t e
misticismo,m i s t i ˈ θ i s m o,m i s t i θ I s m o
misticismo,m i s t i ˈ s i s m o,m i s t i s I s m o
mistificando,m i s t i f i ˈ k a n̪ d o,m i s t i f i k A n̪ d o
mistificar,m i s t i f i ˈ k a ɾ,m i s t i f i k A ɾ
mistol,m i s ˈ t o l,m i s t O l
mistongo,m i s ˈ t o ŋ g o,m i s t O ŋ g o
misérrima,m l ˈ s e r i m a,m l s E r i m a
misérrimas,m l ˈ s e r i m a s,m l s E r i m a s
misérrimo,m i ˈ s e r i m o,m i s E r i m o
misérrimos,m l ˈ s e r i m o s,m l s E r i m o s
misógino,m i ˈ s o x i n o,m i s O x i n o
mitación,m i t a ˈ θ j o n,m i t a θ j O n
mitación,m i t a ˈ s j o n,m i t a s j O n
mitad,m i ˈ t a ð,m i t A ð
mitades,m i ˈ t a ð e s,m i t A ð e s
mitigando,ˈ a n̪ d o,A n̪ d o
mitigar,m i t i ˈ ɰ a ɾ,m i t i ɰ A ɾ
mitimae,m i t i ˈ m a e,m i t i m A e
mitin,ˈ m i t i ŋ,m I t i ŋ
mito,ˈ m i t o,m I t o
mitocondria,m i t o ˈ k o n̪ d ɾ j a,m i t o k O n̪ d ɾ j a
mitocondrial,m i t o k o n ˈ d ɾ j a l,m i t o k o n d ɾ j A l
mitología,m i t o l o ˈ x i a,m i t o l o x I a
mitomanía,m i t o m a ˈ n i a,m i t o m a n I a
mitosis,m i ˈ t o s i s,m i t O s i s
mitote,m i ˈ t o t e,m i t O t e
mitómana,m i ˈ t o m a n a,m i t O m a n a
mitómanas,m i ˈ t o m a n a s,m i t O m a n a s
mitómano,m i ˈ t o m a n o,m i t O m a n o
mitómanos,m i ˈ t o m a n o s,m i t O m a n o s
mitón,m i ˈ t o n,m i t O n
miura,ˈ m j u ɾ a,m j U ɾ a
mixe,ˈ m i x e,m I x e
mixer,ˈ m i k s e ɾ,m I k s e ɾ
mixta,ˈ m i k s t a,m I k s t a
mixtas,ˈ m i k s t a s,m I k s t a s
mixteco,m i k s ˈ t e k o,m i k s t E k o
mixtificando,ˈ a n̪ d o,A n̪ d o
mixtificar,m i k s t i f i ˈ k a ɾ,m i k s t i f i k A ɾ
mixtilíneo,m i k s t i ˈ l i n e o,m i k s t i l I n e o
mixtiones,m i k s ˈ t j o n e s,m i k s t j O n e s
mixtión,m i k s ˈ t j o n,m i k s t j O n
mixto,ˈ m i k s t o,m I k s t o
mixtura,m i k s ˈ t u r a,m i k s t U r a
miá,m i ˈ a,m i A
miáis,m i ˈ a j s,m i A j s
miás,m i ˈ a s,m i A s
mié,m i ˈ e,m i E
miéchica,ˈ m j e t ʃ i k a,m j E t ʃ i k a
miéis,m i ˈ e j s,m i E j s
miércoles,ˈ m j e ɾ k o l e s,m j E ɾ k o l e s
miérdago,ˈ m j e ɾ ð a ɰ o,m j E ɾ ð a ɰ o
miés,m i ˈ e s,m i E s
miñaques,m i ˈ ɲ a k e s,m i ɲ A k e s
miñardí,m i ɲ a ɾ ˈ ð i,m i ɲ a ɾ ð I
miñardíes,m i ɲ a ɾ ˈ ð i e s,m i ɲ a ɾ ð I e s
miñardís,m i ɲ a ɾ ˈ ð i s,m i ɲ a ɾ ð I s
miñe-miñe,m i ɲ e ˈ m i ɲ e,m i ɲ e m I ɲ e
mió,m ɾ i ˈ o,m ɾ i O
mnemotecnia,m n e m o ˈ t e k n j a,m n e m o t E k n j a
moa,m o a,m o a
moai,m o ˈ a j,m o A j
mocasín,m o k a ˈ s i n,m o k a s I n
mocear,m o s e ˈ a ɾ,m o s e A ɾ
mocear,m o θ e ˈ a ɾ,m o θ e A ɾ
mocha,ˈ m o t ʃ a,m O t ʃ a
mochila,m o ˈ t ʃ i l a,m o t ʃ I l a
mochilas,m o ˈ t ʃ i l a s,m o t ʃ I l a s
moco,ˈ m o k o,m O k o
mocos,ˈ m o k o s,m O k o s
mocoso,m o ˈ k o s o,m o k O s o
mocosos,m o ˈ k o s o s,m o k O s o s
moda,ˈ m o ð a,m O ð a
modalidad,m o ð a l i ˈ ð a ð,m o ð a l i ð A ð
modelos,m o ˈ ð e l o s,m o ð E l o s
moderación,m o ð e ɾ a ˈ θ j o n,m o ð e ɾ a θ j O n
moderación,m o ð e ɾ a ˈ s j o n,m o ð e ɾ a s j O n
moderado,m o ð e ˈ ɾ a ð o,m o ð e ɾ A ð o
moderando,ˈ a n̪ d o,A n̪ d o
moderar,m o ð e ˈ ɾ a ɾ,m o ð e ɾ A ɾ
moderna,m o ˈ ð e ɾ n a,m o ð E ɾ n a
modernas,m o ˈ ð e ɾ n a s,m o ð E ɾ n a s
modernidad,m o ð e ɾ n i ˈ ð a ð,m o ð e ɾ n i ð A ð
modernidades,m o ð e ɾ n i ˈ ð a ð e s,m o ð e ɾ n i ð A ð e s
modernismo,m o ð e ɾ ˈ n i s m o,m o ð e ɾ n I s m o
modernito,m o ð e ɾ ˈ n i t o,m o ð e ɾ n I t o
modernizando,m o ð e ɾ n i ˈ s a n̪ d o,m o ð e ɾ n i s A n̪ d o
modernizando,m o ð e ɾ n i ˈ θ a n̪ d o,m o ð e ɾ n i θ A n̪ d o
modernizar,m o ð e ɾ n i ˈ s a ɾ,m o ð e ɾ n i s A ɾ
modernizar,m o ð e ɾ n i ˈ θ a ɾ,m o ð e ɾ n i θ A ɾ
modernizarse,m o ð e ɾ n i ˈ s a ɾ s e,m o ð e ɾ n i s A ɾ s e
modernizarse,m o ð e ɾ n i ˈ θ a ɾ s e,m o ð e ɾ n i θ A ɾ s e
modernizándose,m o ð e ɾ n i ˈ s a n̪ d o s e,m o ð e ɾ n i s A n̪ d o s e
modernizándose,m o ð e ɾ n i ˈ θ a n̪ d o s e,m o ð e ɾ n i θ A n̪ d o s e
moderno,m o ˈ ð e ɾ n o,m o ð E ɾ n o
modernos,m o ˈ ð e ɾ n o s,m o ð E ɾ n o s
modestia,m o ˈ ð e s t j a,m o ð E s t j a
modificación,m o ð i f i k a ˈ θ j o n,m o ð i f i k a θ j O n
modificación,m o ð i f i k a ˈ s j o n,m o ð i f i k a s j O n
modificador,m o ð i f i k a ˈ ð o ɾ,m o ð i f i k a ð O ɾ
modificadora,m o ð i f i k a ˈ ð o ɾ a,m o ð i f i k a ð O ɾ a
modificadoras,m o ð i f i k a ˈ ð o ɾ a s,m o ð i f i k a ð O ɾ a s
modificadores,m o ð i f i k a ˈ ð o ɾ e s,m o ð i f i k a ð O ɾ e s
modificando,ˈ a n̪ d o,A n̪ d o
modillón,m o ð i ˈ ʎ o n,m o ð i ʎ O n
modo,ˈ m o ð o,m O ð o
modorrando,ˈ a n̪ d o,A n̪ d o
modorrar,m o ð o ˈ r a ɾ,m o ð o r A ɾ
modulando,ˈ a n̪ d o,A n̪ d o
mofa,ˈ m o f a,m O f a
mofleando,m o f l e ˈ a n̪ d o,m o f l e A n̪ d o
moflearse,m o f l e ˈ a ɾ s e,m o f l e A ɾ s e
moflete,m o ˈ f l e t e,m o f l E t e
mofletes,m o ˈ f l e t e s,m o f l E t e s
mofletuda,m o f l e ˈ t u ð a,m o f l e t U ð a
mofletudas,m o f l e ˈ t u ð a s,m o f l e t U ð a s
mofletudo,m o f l e ˈ t u ð o,m o f l e t U ð o
mofletudos,m o f l e ˈ t u ð o s,m o f l e t U ð o s
mofleándose,m o f l e ˈ a n̪ d o s e,m o f l e A n̪ d o s e
moflir,m o ˈ f l i ɾ,m o f l I ɾ
mohalaca,m o a ˈ l a k a,m o a l A k a
moharra,m o ˈ a r a,m o A r a
mohecer,m o e ˈ s e ɾ,m o e s E ɾ
mohecer,m o e ˈ θ e ɾ,m o e θ E ɾ
mohecerse,m o e ˈ s e ɾ s e,m o e s E ɾ s e
mohecerse,m o e ˈ θ e ɾ s e,m o e θ E ɾ s e
moho,ˈ m o o,m O o
mohoso,m o ˈ o s o,m o O s o
moisés,m o j ˈ s e s,m o j s E s
mojando,ˈ a n̪ d o,A n̪ d o
mojar,m o ˈ x a ɾ,m o x A ɾ
mojarrineando,ˈ a n̪ d o,A n̪ d o
mojarrinear,m o x a r i n e ˈ a ɾ,m o x a r i n e A ɾ
mojarse,m o ˈ x a ɾ s e,m o x A ɾ s e
mojicones,m o x i ˈ k o n e s,m o x i k O n e s
mojicón,m o x i ˈ k o n,m o x i k O n
mojo,ˈ m o x o,m O x o
mojones,m o ˈ x o n e s,m o x O n e s
mojón,m o ˈ x o n,m o x O n
mol,ˈ m o l,m O l
molando,ˈ a n̪ d o,A n̪ d o
molar,m o ˈ l a r,m o l A r
molaridad,m o l a ɾ i ˈ ð a ð,m o l a ɾ i ð A ð
molaridades,m o l a ɾ i ˈ ð a ð e s,m o l a ɾ i ð A ð e s
molcajete,m o l k a ˈ x e t e,m o l k a x E t e
moldava,m o l ˈ d a β a,m o l d A β a
moldavas,m o l ˈ d a β a s,m o l d A β a s
molde,ˈ m o l d e,m O l d e
moldeada,m o l d e ˈ a ð a,m o l d e A ð a
moldeadas,m o l d e ˈ a ð a s,m o l d e A ð a s
moldeados,m o l d e ˈ a ð o s,m o l d e A ð o s
moldeos,m o l ˈ d e o s,m o l d E o s
moldura,m o l ˈ d u r a,m o l d U r a
molduras,m o l ˈ ð u r a s,m o l ð U r a s
molecular,m o l e k u ˈ l a ɾ,m o l e k u l A ɾ
molejón,m o l e ˈ x o n,m o l e x O n
molenario,m o l e ˈ n a ɾ j o,m o l e n A ɾ j o
molendero,m o l e n ˈ d e ɾ o,m o l e n d E ɾ o
moler,m o ˈ l e ɾ,m o l E ɾ
molera,m o ˈ l e ɾ a,m o l E ɾ a
molero,m o ˈ l e ɾ o,m o l E ɾ o
moles,ˈ m o l e s,m O l e s
molestado,m o l e s ˈ t a ð o,m o l e s t A ð o
molestador,m o l e s t a ˈ ð o ɾ,m o l e s t a ð O ɾ
molestamente,m o ˈ l e s t a ˈ m e n t e,m o l E s t a m E n t e
molestando,ˈ a n̪ d o,A n̪ d o
molestar,m o l e s ˈ t a ɾ,m o l e s t A ɾ
molestia,m o ˈ l e s t j a,m o l E s t j a
molesto,m o ˈ l e s t o,m o l E s t o
molestos,m o ˈ l e s t o s,m o l E s t o s
molidísima,m o l i ˈ ð i s i m a,m o l i ð I s i m a
molidísimas,m o l i ˈ ð i s i m a s,m o l i ð I s i m a s
molidísimo,m o l i ˈ ð i s i m o,m o l i ð I s i m o
molidísimos,m o l i ˈ ð i s i m o s,m o l i ð I s i m o s
molienda,m o ˈ l j e n̪ d a,m o l j E n̪ d a
moliendas,m o ˈ l j e n̪ d a s,m o l j E n̪ d a s
moliendo,ˈ j e n̪ d o,j E n̪ d o
molificables,m o l i f i ˈ k a β l e s,m o l i f i k A β l e s
molinete,m o l i ˈ n e t e,m o l i n E t e
molinillo,m o l i ˈ n i ʝ o,m o l i n I ʝ o
molinillo,m o l i ˈ n i ʎ o,m o l i n I ʎ o
molino,m o ˈ l i n o,m o l I n o
mollejón,m o ʝ e ˈ x o n,m o ʝ e x O n
mollejón,m o ʎ e ˈ x o n,m o ʎ e x O n
mollinando,ˈ a n̪ d o,A n̪ d o
mollinar,m o ʎ i ˈ n a ɾ,m o ʎ i n A ɾ
mollizna,m o ˈ ʎ i θ n a,m o ʎ I θ n a
molliznando,ˈ a n̪ d o,A n̪ d o
molliznar,m o ʎ i θ ˈ n a ɾ,m o ʎ i θ n A ɾ
mollizneando,ˈ a n̪ d o,A n̪ d o
molliznear,m o ʎ i θ n e ˈ a ɾ,m o ʎ i θ n e A ɾ
molusco,m o l u s ˈ k o,m o l u s k O
molécula,m o ˈ l e k u l a,m o l E k u l a
momentos,,
momio,ˈ m o m j o,m O m j o
monarca,m o ˈ n a ɾ k a,m o n A ɾ k a
monarcas,m o ˈ n a ɾ k a s,m o n A ɾ k a s
monarquía,m o n a ɾ ˈ k i a,m o n a ɾ k I a
monarquías,m o n a ɾ ˈ k i a s,m o n a ɾ k I a s
monas,ˈ m o n a s,m O n a s
monasterio,m o n a s ˈ t e ɾ j o,m o n a s t E ɾ j o
mondadientes,m o n d a ˈ ð j e n t e s,m o n d a ð j E n t e s
mondando,ˈ a n̪ d o,A n̪ d o
mondejo,m o n̪ ˈ d e x o,m o n̪ d E x o
mondongo,m o n̪ ˈ d o ŋ g o,m o n̪ d O ŋ g o
moneda,m o ˈ n e ð a,m o n E ð a
monedas,m o ˈ n e ð a s,m o n E ð a s
monegasca,m o n e ˈ ɣ a s k a,m o n e ɣ A s k a
monegascas,m o n e ˈ ɣ a s k a s,m o n e ɣ A s k a s
monegasco,m o n e ˈ g a s k o,m o n e g A s k o
monema,m o ˈ n e m a,m o n E m a
monemas,m o ˈ n e m a s,m o n E m a s
monetaria,m o n e ˈ t a ɾ j a,m o n e t A ɾ j a
monetarias,m o n e ˈ t a ɾ j a s,m o n e t A ɾ j a s
monetario,m o n e ˈ t a ɾ i o,m o n e t A ɾ i o
mongol,m o ŋ ˈ ɰ o l,m o ŋ ɰ O l
mongola,m o n ˈ ɣ o l a,m o n ɣ O l a
mongolas,m o n ˈ ɣ o l a s,m o n ɣ O l a s
mongoles,m o n ˈ ɣ o l e s,m o n ɣ O l e s
mongólico,m o ŋ ˈ g o l i k o,m o ŋ g O l i k o
moniato,m o ˈ n j a t o,m o n j A t o
monitor,m o n i ˈ t o ɾ,m o n i t O ɾ
monitoreando,ˈ a n̪ d o,A n̪ d o
monitorear,m o n i t o ɾ e ˈ a ɾ,m o n i t o ɾ e A ɾ
monitores,m o n i ˈ t o ɾ e s,m o n i t O ɾ e s
monitorizar,m o n i t o ɾ i ˈ s a ɾ,m o n i t o ɾ i s A ɾ
monitorizar,m o n i t o ɾ i θ a ɾ,m o n i t o ɾ i θ a ɾ
monja,ˈ m o n x a,m O n x a
monjas,ˈ m o ŋ x a s,m O ŋ x a s
monjes,ˈ m o n x e s,m O n x e s
mono,ˈ m o n o,m O n o
mono-,ˈ m o n o,m O n o
monocultivo,ˌ m o n o k u l ˈ t i β o,ˌ m o n o k u l t I β o
monocultivos,ˌ m o n o k u l ˈ t i β o s,ˌ m o n o k u l t I β o s
monografía,m o n o ɣ ɾ a ˈ f j a,m o n o ɣ ɾ a f j A
monolingüe,m o n o ˈ l i ŋ g w e,m o n o l I ŋ g w e
monolingües,ˌ m o n o ˈ l i ŋ g w e s,ˌ m o n o l I ŋ g w e s
monolito,m o n o ˈ l i t o,m o n o l I t o
monologismo,m o n o l o ˈ x i s m o,m o n o l o x I s m o
monomaquia,,
monomaquias,,
monomio,m o ˈ n o m j o,m o n O m j o
monono,m o ˈ n o n o,m o n O n o
monopatín,m o n o ˈ p a t i n,m o n o p A t i n
monoplano,m o n o ˈ p l a n o,m o n o p l A n o
monopolio,m o n o ˈ p o l j o,m o n o p O l j o
monoptongación,m o n o p t o ŋ ɡ a ˈ θ j o n,m o n o p t o ŋ ɡ a θ j O n
monoptongación,m o n o p t o ŋ ɡ a ˈ s j o n,m o n o p t o ŋ ɡ a s j O n
monoptongo,m o n o p ˈ t o ŋ g o,m o n o p t O ŋ g o
monot,m o ˈ n o t,m o n O t
monotaxia,m o n o ˈ t a k s j a,m o n o t A k s j a
monote,m o ˈ n o t e,m o n O t e
monoteico,m o n o ˈ t e j k o,m o n o t E j k o
monotelismo,m o n o t e ˈ l i s m o,m o n o t e l I s m o
monotelita,m o n o t e ˈ l i t a,m o n o t e l I t a
monotelitismo,m o n o t e l i ˈ t i s m o,m o n o t e l i t I s m o
monoteísmo,m o n o t e ˈ i s m o,m o n o t e I s m o
monoteísta,m o n o t e ˈ i s t a,m o n o t e I s t a
monotonía,m o n o t o ˈ n i a,m o n o t o n I a
monotremo,m o n o ˈ t ɾ e m o,m o n o t ɾ E m o
monotriglifo,m o n o t ɾ i ˈ g l i f o,m o n o t ɾ i g l I f o
monotrofia,m o n o ˈ t ɾ o f j a,m o n o t ɾ O f j a
monotálamo,m o n o ˈ t a l a m o,m o n o t A l a m o
monradita,m o n r a ˈ ð i t a,m o n r a ð I t a
monserga,m o n ˈ s e ɾ ɰ a,m o n s E ɾ ɰ a
monseñor,m o n s e ˈ ɲ o ɾ,m o n s e ɲ O ɾ
monsona,m o n ˈ s o n a,m o n s O n a
monstra,ˈ m o n s t ɾ a,m O n s t ɾ a
monstro,ˈ m o n s t ɾ o,m O n s t ɾ o
monstruo,ˈ m o n s t ɾ w o,m O n s t ɾ w o
monstruosamente,m o n s ˈ t ɾ w o s a ˈ m e n t e,m o n s t ɾ w O s a m E n t e
monstruosidad,m o n s t ɾ w o s i ˈ ð a ð,m o n s t ɾ w o s i ð A ð
monstruoso,m o n s ˈ t ɾ w o s o,m o n s t ɾ w O s o
monstrígeno,m o n s ˈ t ɾ i x e n o,m o n s t ɾ I x e n o
mont,ˈ m o n t,m O n t
montaje,m o n ˈ t a x e,m o n t A x e
montajes,m o n ˈ t a x e s,m o n t A x e s
montando,ˈ a n̪ d o,A n̪ d o
montaplatos,ˌ m o n̪ t a ˈ p l a t o s,ˌ m o n̪ t a p l A t o s
montaraces,m o n̪ t a ˈ ɾ a θ e s,m o n̪ t a ɾ A θ e s
montaraces,m o n̪ t a ˈ ɾ a s e s,m o n̪ t a ɾ A s e s
montazal,m o n̪ t a ˈ s a l,m o n̪ t a s A l
montazal,m o n̪ t a ˈ θ a l,m o n̪ t a θ A l
montaña,m o n ˈ t a ɲ a,m o n t A ɲ a
montañas,m o n ˈ t a ɲ a s,m o n t A ɲ a s
montañés,m o n t a ˈ ɲ e s,m o n t a ɲ E s
monteando,ˈ a n̪ d o,A n̪ d o
monteriana,m o n̪ t e ˈ ɾ j a n a,m o n̪ t e ɾ j A n a
monterianas,m o n̪ t e ˈ ɾ j a n a s,m o n̪ t e ɾ j A n a s
monteriano,m o n̪ t e ˈ ɾ j a n o,m o n̪ t e ɾ j A n o
monterianos,m o n̪ t e ˈ ɾ j a n o s,m o n̪ t e ɾ j A n o s
montería,m o n̪ t e ˈ ɾ i a,m o n̪ t e ɾ I a
monterías,m o n̪ t e ˈ ɾ i a s,m o n̪ t e ɾ I a s
montes,ˈ m o n̪ t e s,m O n̪ t e s
montevideo,m o n t e β i ˈ ð e o,m o n t e β i ð E o
montones,m o n̪ ˈ t o n e s,m o n̪ t O n e s
montserratenses,m o n̪ t s e r a ˈ t e n s e s,m o n̪ t s e r a t E n s e s
montás,m o n̪ ˈ t a s,m o n̪ t A s
montés,m o n̪ ˈ t e s,m o n̪ t E s
montón,m o n ˈ t o n,m o n t O n
monumental,,
monumentalmente,,
monumento,m o n u ˈ m e n t o,m o n u m E n t o
monárquico,m o ˈ n a ɾ k i k o,m o n A ɾ k i k o
monísima,m o ˈ n i s i m a,m o n I s i m a
monísimas,m o ˈ n i s i m a s,m o n I s i m a s
monísimo,m o ˈ n i s i m o,m o n I s i m o
monísimos,m o ˈ n i s i m o s,m o n I s i m o s
monómero,m o ˈ n o m e ɾ o,m o n O m e ɾ o
monótomo,m o ˈ n o t o m o,m o n O t o m o
monótona,m o ˈ n o t o n a,m o n O t o n a
monótonamente,m o ˈ n o t a ˈ m e n t e,m o n O t a m E n t e
monótonas,m o ˈ n o t o n a s,m o n O t o n a s
monótono,m o ˈ n o t o n o,m o n O t o n o
monótonos,m o ˈ n o t o n o s,m o n O t o n o s
monótrofo,m o ˈ n o t ɾ o f o,m o n O t ɾ o f o
mopa,ˈ m o p a,m O p a
mopas,m o ˈ p a s,m o p A s
moqueando,ˈ a n̪ d o,A n̪ d o
moquear,m o k e ˈ a ɾ,m o k e A ɾ
moqueguana,m o k e ˈ w a n a,m o k e w A n a
mor,m o ɾ,m o ɾ
moradas,m o ˈ ɾ a ð a s,m o ɾ A ð a s
morador,m o ɾ a ˈ ð o ɾ,m o ɾ a ð O ɾ
moradora,m o ɾ a ˈ ð o ɾ a,m o ɾ a ð O ɾ a
moradoras,m o ɾ a ˈ ð o ɾ a s,m o ɾ a ð O ɾ a s
moradores,m o ɾ a ˈ ð o ɾ e s,m o ɾ a ð O ɾ e s
moraduras,m o ɾ a ˈ ð u ɾ a s,m o ɾ a ð U ɾ a s
moraga,m o ˈ ɾ a ɰ a,m o ɾ A ɰ a
moral,m o ˈ ɾ a l,m o ɾ A l
moraleja,m o ɾ a ˈ l e x a,m o ɾ a l E x a
moralice,m o ɾ a ˈ l i θ e,m o ɾ a l I θ e
moralice,m o ɾ a ˈ l i s e,m o ɾ a l I s e
moralidad,m o ɾ a l i ˈ ð a ð,m o ɾ a l i ð A ð
moralina,m o ɾ a ˈ l i n a,m o ɾ a l I n a
moralinas,m o ɾ a ˈ l i n a s,m o ɾ a l I n a s
moralismo,m o ɾ a ˈ l i s m o,m o ɾ a l I s m o
moralista,m o ɾ a ˈ l i s t a,m o ɾ a l I s t a
moralistas,m o ɾ a ˈ l i s t a s,m o ɾ a l I s t a s
moralizaciones,m o ɾ a l i s a ˈ s j o n e s,m o ɾ a l i s a s j O n e s
moralizaciones,m o ɾ a l i θ a ˈ θ j o n e s,m o ɾ a l i θ a θ j O n e s
moralización,m o ɾ a l i θ a ˈ θ j o n,m o ɾ a l i θ a θ j O n
moralización,m o ɾ a l i s a ˈ s j o n,m o ɾ a l i s a s j O n
moralizador,m o ɾ a l i s a ˈ ð o ɾ,m o ɾ a l i s a ð O ɾ
moralizador,m o ɾ a l i θ a ˈ ð o ɾ,m o ɾ a l i θ a ð O ɾ
moralizadora,m o ɾ a l i s a ˈ ð o ɾ a,m o ɾ a l i s a ð O ɾ a
moralizadora,m o ɾ a l i θ a ˈ ð o ɾ a,m o ɾ a l i θ a ð O ɾ a
moralizadoras,m o ɾ a l i θ a ˈ ð o ɾ a s,m o ɾ a l i θ a ð O ɾ a s
moralizadoras,m o ɾ a l i s a ˈ ð o ɾ a s,m o ɾ a l i s a ð O ɾ a s
moralizadores,m o ɾ a l i θ a ˈ ð o ɾ e s,m o ɾ a l i θ a ð O ɾ e s
moralizadores,m o ɾ a l i s a ˈ ð o ɾ e s,m o ɾ a l i s a ð O ɾ e s
moralizante,m o ɾ a l i ˈ s a n̪ t e,m o ɾ a l i s A n̪ t e
moralizante,m o ɾ a l i ˈ θ a n̪ t e,m o ɾ a l i θ A n̪ t e
moralizantes,m o ɾ a l i ˈ s a n̪ t e s,m o ɾ a l i s A n̪ t e s
moralizantes,m o ɾ a l i ˈ θ a n̪ t e s,m o ɾ a l i θ A n̪ t e s
moralizar,m o ɾ a l i ˈ θ a ɾ,m o ɾ a l i θ A ɾ
moralizar,m o ɾ a l i ˈ s a ɾ,m o ɾ a l i s A ɾ
morando,ˈ a n̪ d o,A n̪ d o
moranza,m o ˈ ɾ a n s a,m o ɾ A n s a
moranza,m o ˈ ɾ a n̪ θ a,m o ɾ A n̪ θ a
morapio,m o ˈ ɾ a p j o,m o ɾ A p j o
morar,m o ˈ ɾ a ɾ,m o ɾ A ɾ
moratoria,m o ɾ a ˈ t o ɾ j a,m o ɾ a t O ɾ j a
morbilidad,m o ɾ β i l i ˈ ð a ð,m o ɾ β i l i ð A ð
morbimortalidad,ˌ m o ɾ β i m o ɾ t a l i ˈ ð a ð,ˌ m o ɾ β i m o ɾ t a l i ð A ð
morbo,ˈ m o ɾ β o,m O ɾ β o
morbosamente,m o ɾ ˈ β o s a ˈ m e n̪ t e,m o ɾ β O s a m E n̪ t e
morboso,m o ɾ ˈ β o s o,m o ɾ β O s o
morbosísima,m o ɾ β o ˈ s i s i m a,m o ɾ β o s I s i m a
morbosísimas,m o ɾ β o ˈ s i s i m a s,m o ɾ β o s I s i m a s
morbosísimo,m o ɾ β o ˈ s i s i m o,m o ɾ β o s I s i m o
morbosísimos,m o ɾ β o ˈ s i s i m o s,m o ɾ β o s I s i m o s
morcilla,m o ɾ ˈ s i ʎ a,m o ɾ s I ʎ a
morcilla,m o ɾ ˈ θ i ʝ a,m o ɾ θ I ʝ a
morcilla,m o ɾ ˈ θ i ʎ a,m o ɾ θ I ʎ a
morcilla,m o ɾ ˈ s i ʝ a,m o ɾ s I ʝ a
morcillas,m o ɾ ˈ s i ʝ a s,m o ɾ s I ʝ a s
morcillas,m o ɾ ˈ θ i ʎ a s,m o ɾ θ I ʎ a s
mordaces,m o ɾ ˈ ð a s e s,m o ɾ ð A s e s
mordaces,m o ɾ ˈ ð a θ e s,m o ɾ ð A θ e s
mordaz,m o ɾ ˈ ð a θ,m o ɾ ð A θ
mordaza,m o ɾ ˈ d a θ a,m o ɾ d A θ a
mordiendo,ˈ j e n̪ d o,j E n̪ d o
more,ˈ m o ɾ e,m O ɾ e
moreliana,m o ɾ e l j a n a,m o ɾ e l j a n a
moreliano,m o ɾ e l j a n o,m o ɾ e l j a n o
morena,m o ˈ ɾ e n a,m o ɾ E n a
morenas,m o ˈ ɾ e n a s,m o ɾ E n a s
morenillo,m o ɾ e ˈ n i ʝ o,m o ɾ e n I ʝ o
morenillo,m o ɾ e ˈ n i ʎ o,m o ɾ e n I ʎ o
moreno,m o ˈ ɾ e n o,m o ɾ E n o
morería,m o ɾ e ˈ ɾ i a,m o ɾ e ɾ I a
morerías,m o ɾ e ˈ ɾ i a s,m o ɾ e ɾ I a s
morfando,ˈ a n̪ d o,A n̪ d o
morfema,m o ɾ ˈ f e m a,m o ɾ f E m a
morfemas,m o ɾ ˈ f e m a s,m o ɾ f E m a s
morfina,m o ɾ ˈ f i n a,m o ɾ f I n a
morfología,m o ɾ f o l o ˈ x i a,m o ɾ f o l o x I a
